epoch,dice_coefficient,learning_rate,loss,mean_iou,pixel_accuracy,val_dice_coefficient,val_loss,val_mean_iou,val_pixel_accuracy
0,0.385528028011322,9.999999747378752e-05,0.49884799122810364,0.34975337982177734,0.6461737751960754,0.6003636717796326,0.3419267237186432,0.6018158197402954,0.8381636142730713
1,0.446452260017395,9.999999747378752e-05,0.4522630572319031,0.38817423582077026,0.6874820590019226,0.6270674467086792,0.31096625328063965,0.6065382957458496,0.8459343314170837
2,0.45772284269332886,9.999999747378752e-05,0.44199177622795105,0.39710181951522827,0.6952813863754272,0.6563997268676758,0.2700038552284241,0.6213462352752686,0.8392273187637329
3,0.46111422777175903,9.999999747378752e-05,0.43918395042419434,0.39855003356933594,0.6964582800865173,0.6675494313240051,0.2614263892173767,0.6321500539779663,0.852313220500946
4,0.4641043543815613,9.999999747378752e-05,0.4357534348964691,0.4012884795665741,0.6995081305503845,0.6710994839668274,0.2567232847213745,0.6341105103492737,0.8496216535568237
5,0.46936896443367004,9.999999747378752e-05,0.43118804693222046,0.4057433009147644,0.7033805847167969,0.6796282529830933,0.25083768367767334,0.641262948513031,0.8557089567184448
6,0.46840739250183105,9.999999747378752e-05,0.43175262212753296,0.4049387574195862,0.7019850015640259,0.7029943466186523,0.24006803333759308,0.6680693626403809,0.8754181861877441
7,0.4742072820663452,9.999999747378752e-05,0.4271570146083832,0.40953710675239563,0.7066878080368042,0.6905362010002136,0.24074454605579376,0.6518377065658569,0.8609581589698792
8,0.4758617579936981,9.999999747378752e-05,0.42519065737724304,0.4116615653038025,0.7075642943382263,0.7126696705818176,0.23371508717536926,0.6782221794128418,0.8790022134780884
9,0.47610506415367126,9.999999747378752e-05,0.4248426556587219,0.4108644723892212,0.7075528502464294,0.706271767616272,0.22945810854434967,0.6719796657562256,0.8742091655731201
10,0.4772900342941284,9.999999747378752e-05,0.42345747351646423,0.41323649883270264,0.7091145515441895,0.7145333886146545,0.22935280203819275,0.6746606826782227,0.8758115172386169
11,0.4771275222301483,9.999999747378752e-05,0.42356178164482117,0.4123750627040863,0.7087588906288147,0.7221609950065613,0.2312941700220108,0.683298647403717,0.8809409141540527
12,0.4789939224720001,9.999999747378752e-05,0.421772837638855,0.41368579864501953,0.7100983262062073,0.7162623405456543,0.22680024802684784,0.6755163669586182,0.8770965933799744
13,0.48508238792419434,9.999999747378752e-05,0.41674721240997314,0.41933342814445496,0.7149824500083923,0.7229281067848206,0.22671030461788177,0.6837610602378845,0.8799364566802979
