epoch,dice_coefficient,learning_rate,loss,mean_iou,pixel_accuracy,val_dice_coefficient,val_loss,val_mean_iou,val_pixel_accuracy
0,0.5008019804954529,9.999999747378752e-05,0.40345144271850586,0.49436116218566895,0.7606247067451477,0.5203545689582825,0.39257895946502686,0.48682868480682373,0.7611708045005798
1,0.6160725355148315,9.999999747378752e-05,0.3099654018878937,0.5841736197471619,0.8248287439346313,0.6025183200836182,0.3294256031513214,0.5862742066383362,0.8262671828269958
2,0.6591041088104248,9.999999747378752e-05,0.27614453434944153,0.6191411018371582,0.8477126359939575,0.6305309534072876,0.31131112575531006,0.5947593450546265,0.8323439359664917
3,0.688224196434021,9.999999747378752e-05,0.2525726556777954,0.6453283429145813,0.8627936840057373,0.651253342628479,0.28613778948783875,0.62346351146698,0.8481742739677429
4,0.7111886739730835,9.999999747378752e-05,0.23443734645843506,0.6654356718063354,0.8731406331062317,0.6695764660835266,0.2773061692714691,0.6380629539489746,0.8586740493774414
5,0.7296741604804993,9.999999747378752e-05,0.2199786901473999,0.6819802522659302,0.8815765380859375,0.6876083612442017,0.2732478380203247,0.6471949815750122,0.8666806221008301
6,0.7449133396148682,9.999999747378752e-05,0.2078293263912201,0.6971527338027954,0.8890944719314575,0.6460810303688049,0.2872188091278076,0.5867133140563965,0.8270242810249329
7,0.7555341124534607,9.999999747378752e-05,0.19916246831417084,0.7073414325714111,0.8937931060791016,0.7073958516120911,0.2565385699272156,0.6696517467498779,0.8779433369636536
8,0.7692916989326477,9.999999747378752e-05,0.18829083442687988,0.7195781469345093,0.8993698358535767,0.7176658511161804,0.2519393265247345,0.6728259325027466,0.8743410110473633
9,0.7798507213592529,9.999999747378752e-05,0.18016588687896729,0.7295699119567871,0.9031482934951782,0.7105333805084229,0.2539692223072052,0.6670212745666504,0.8690919876098633
10,0.7872822284698486,9.999999747378752e-05,0.17380444705486298,0.736979603767395,0.9062619209289551,0.7229032516479492,0.24865612387657166,0.6779793500900269,0.8802729249000549
11,0.7961613535881042,9.999999747378752e-05,0.16665680706501007,0.7463200688362122,0.9103197455406189,0.7298815250396729,0.2430998831987381,0.6865736842155457,0.8831155896186829
12,0.8044962882995605,9.999999747378752e-05,0.15988844633102417,0.7533596754074097,0.9129863977432251,0.7260960340499878,0.2803340554237366,0.6724038124084473,0.8794843554496765
13,0.8112491369247437,9.999999747378752e-05,0.1537160724401474,0.7618268728256226,0.9168140292167664,0.7222908735275269,0.2511758804321289,0.6734097003936768,0.8709173798561096
14,0.8195489048957825,9.999999747378752e-05,0.14709943532943726,0.7697701454162598,0.9203781485557556,0.7273555397987366,0.26076140999794006,0.6722540855407715,0.8732856512069702
15,0.826080322265625,9.999999747378752e-05,0.14140383899211884,0.7775202989578247,0.9237405061721802,0.7392277717590332,0.26000770926475525,0.6891299486160278,0.8846839666366577
16,0.8326359987258911,9.999999747378752e-05,0.13585467636585236,0.7843111753463745,0.9276209473609924,0.737798810005188,0.2557137906551361,0.6862268447875977,0.8830581903457642
17,0.8467717170715332,4.999999873689376e-05,0.12333539873361588,0.8019307851791382,0.9355141520500183,0.7483769059181213,0.2536425292491913,0.6983915567398071,0.8857048153877258
18,0.8548513650894165,4.999999873689376e-05,0.11697374284267426,0.8101273775100708,0.9387947916984558,0.7532542943954468,0.2574785351753235,0.7011806964874268,0.8894345164299011
19,0.8598547577857971,4.999999873689376e-05,0.11275886744260788,0.8155325651168823,0.9409251809120178,0.7519372701644897,0.2715356647968292,0.7000461220741272,0.8882896900177002
