epoch,dice_coefficient,learning_rate,loss,mean_iou,pixel_accuracy,val_dice_coefficient,val_loss,val_mean_iou,val_pixel_accuracy
0,0.35018888115882874,9.999999747378752e-05,0.5384631156921387,0.31964370608329773,0.6151608824729919,0.46455273032188416,0.46698614954948425,0.45922186970710754,0.748587965965271
1,0.4167329668998718,9.999999747378752e-05,0.47783398628234863,0.3678879737854004,0.6690804958343506,0.5659539103507996,0.35749101638793945,0.5703420042991638,0.8193076252937317
2,0.4344036877155304,9.999999747378752e-05,0.4629388749599457,0.3782331347465515,0.6779693365097046,0.6089764833450317,0.3522268533706665,0.6043105125427246,0.8426873683929443
3,0.44320136308670044,9.999999747378752e-05,0.4555042088031769,0.38505733013153076,0.6842377185821533,0.6159618496894836,0.32234373688697815,0.5927878618240356,0.8349591493606567
4,0.44543227553367615,9.999999747378752e-05,0.45356276631355286,0.38525962829589844,0.6847571730613708,0.6309720873832703,0.29587653279304504,0.6009213328361511,0.8341901302337646
